index_,tree_name,Wideband_Red_MEAN_I_mean,Wideband_Red_MEAN_I_median,Wideband_Red_MEAN_I_25th,Wideband_Red_MEAN_I_75th,Wideband_Green_MEAN_I_mean,Wideband_Green_MEAN_I_median,Wideband_Green_MEAN_I_25th,Wideband_Green_MEAN_I_75th,Wideband_Blue_NONE_mean,Wideband_Blue_NONE_median,Wideband_Blue_NONE_25th,Wideband_Blue_NONE_75th,Wideband_Blue_MEAN_I_mean,Wideband_Blue_MEAN_I_median,Wideband_Blue_MEAN_I_25th,Wideband_Blue_MEAN_I_75th,RedEdge_NONE_mean,RedEdge_NONE_median,RedEdge_NONE_25th,RedEdge_NONE_75th,RedEdge_HOMOGENEITY_mean,RedEdge_HOMOGENEITY_median,RedEdge_HOMOGENEITY_25th,RedEdge_HOMOGENEITY_75th,RedEdge_MEAN_I_mean,RedEdge_MEAN_I_median,RedEdge_MEAN_I_25th,RedEdge_MEAN_I_75th,Blue_HOMOGENEITY_mean,Blue_HOMOGENEITY_median,Blue_HOMOGENEITY_25th,Blue_HOMOGENEITY_75th,Blue_ASM_mean,Blue_ASM_median,Blue_ASM_25th,Blue_ASM_75th,Blue_MEAN_I_mean,Blue_MEAN_I_median,Blue_MEAN_I_25th,Blue_MEAN_I_75th,NIR_NONE_mean,NIR_NONE_median,NIR_NONE_25th,NIR_NONE_75th,NIR_HOMOGENEITY_mean,NIR_HOMOGENEITY_median,NIR_HOMOGENEITY_25th,NIR_HOMOGENEITY_75th,NIR_MEAN_I_mean,NIR_MEAN_I_median,NIR_MEAN_I_25th,NIR_MEAN_I_75th,Red_HOMOGENEITY_mean,Red_HOMOGENEITY_median,Red_HOMOGENEITY_25th,Red_HOMOGENEITY_75th,Red_MEAN_I_mean,Red_MEAN_I_median,Red_MEAN_I_25th,Red_MEAN_I_75th,Green_NONE_mean,Green_NONE_median,Green_NONE_25th,Green_NONE_75th,Green_HOMOGENEITY_mean,Green_HOMOGENEITY_median,Green_HOMOGENEITY_25th,Green_HOMOGENEITY_75th,Green_MEAN_I_mean,Green_MEAN_I_median,Green_MEAN_I_25th,Green_MEAN_I_75th,id_based_on_tree_name
27,Campnosperma Auriculatum,0.798269165540399,0.8335698413665033,0.661316043814433,0.6641893319857409,0.3749552352656019,0.0770849312154098,0.374437606897211,0.4645586757645524,0.0707487755215045,0.0322389219784594,0.5885361285036702,0.0761546502558166,0.5897400818050142,0.3519521530211476,0.0365617853909163,0.077832407365937,0.2248632835008984,0.0745222539776239,0.8046875,0.84033203125,0.671875,0.66796875,0.3747067153453827,0.07513427734375,0.375244140625,0.466064453125,0.06597900390625,0.032379150390625,0.5983833074569702,0.07342529296875,0.59033203125,0.352783203125,0.03662109375,0.0739079937338829,0.222900390625,0.07525634765625,0.767578125,0.8056640625,0.58203125,0.63671875,0.3096677362918854,0.06329345703125,0.346923828125,0.426513671875,0.05401611328125,0.029632568359375,0.5251742899417877,0.061004638671875,0.5576171875,0.3193359375,0.0322265625,0.0567349046468734,0.198486328125,0.066650390625,0.830078125,0.8642578125,0.75390625,0.6953125,0.4377441108226776,0.08856201171875,0.4033203125,0.50146484375,0.08026123046875,0.03497314453125,0.6609849333763123,0.0885009765625,0.625,0.38720703125,0.0404205322265625,0.0947145037353038,0.2471923828125,0.0821533203125,3
21,Bridelia Sp.,0.6971946022727272,0.7515244831123737,0.4350342487373737,0.433079407354798,0.2673731668636654,0.1273476870758365,0.2612280914614899,0.7311460404829545,0.3109709842566288,0.017672549161044,0.4084127140863977,0.1329021970190183,0.4018512172506313,0.5456498086332071,0.0218056131998697,0.0599729812386436,0.2894135199652777,0.0555724055742976,0.69873046875,0.7490234375,0.44140625,0.431640625,0.2646723538637161,0.127685546875,0.258544921875,0.73095703125,0.2880859375,0.01763916015625,0.4087135642766952,0.131103515625,0.400390625,0.55078125,0.0216827392578125,0.0567018780857324,0.290283203125,0.053924560546875,0.66064453125,0.71533203125,0.375,0.408203125,0.2226954475045204,0.1058349609375,0.2313232421875,0.69970703125,0.251953125,0.0155715942382812,0.3659718111157417,0.1055908203125,0.3671875,0.5068359375,0.0186767578125,0.0423823371529579,0.2481689453125,0.046905517578125,0.740234375,0.7939453125,0.5,0.455322265625,0.3111969381570816,0.1488037109375,0.292236328125,0.76416015625,0.350830078125,0.019775390625,0.4549014195799827,0.1566162109375,0.437255859375,0.59228515625,0.025115966796875,0.0740214213728904,0.329345703125,0.064697265625,1
32,Spathodea Campanulatum,0.7822786833129518,0.8383125207632487,0.5688576929699088,0.5692503005957373,0.3938222557673547,0.0638369905393165,0.3929652543932551,0.4967038543809673,0.0849599476960427,0.0278853400073381,0.5743433152586421,0.0650961489402471,0.5746942108636445,0.3586172193835435,0.0346228067438893,0.0795357875210598,0.2017892026145644,0.0761754864371608,0.79052734375,0.845703125,0.58203125,0.5751953125,0.3877192735671997,0.0606689453125,0.395263671875,0.49462890625,0.07696533203125,0.02801513671875,0.5786187946796417,0.06243896484375,0.5791015625,0.361572265625,0.032440185546875,0.0750022120773792,0.195068359375,0.076171875,0.7470703125,0.8056640625,0.48046875,0.53125,0.3027883768081665,0.049591064453125,0.352294921875,0.458984375,0.06573486328125,0.025360107421875,0.4878904297947883,0.049163818359375,0.5283203125,0.31982421875,0.0277252197265625,0.0534321162849664,0.1695556640625,0.06689453125,0.826171875,0.87890625,0.66796875,0.60986328125,0.4830007404088974,0.0745849609375,0.437744140625,0.53125,0.0914306640625,0.0307769775390625,0.6693543493747711,0.07891845703125,0.62548828125,0.400390625,0.038330078125,0.1018687207251787,0.2255859375,0.085693359375,15
6,Terminalia Catappa,0.7969758220607485,0.8494841677726108,0.461389852432471,0.4619370123627848,0.4737157438053838,0.0583849701853381,0.4717504199107085,0.3690654779356263,0.0495538088155655,0.0412226864637736,0.5815371169029677,0.0721319541641505,0.5802819050887195,0.2224296483044811,0.0649894446020377,0.1361866830604159,0.1262956932364941,0.1328160732607298,0.80712890625,0.86181640625,0.44921875,0.456787109375,0.4736343324184418,0.0565185546875,0.47607421875,0.363037109375,0.042266845703125,0.040252685546875,0.5861411094665527,0.06988525390625,0.5830078125,0.2137451171875,0.06353759765625,0.1293148398399353,0.12213134765625,0.134765625,0.76025390625,0.8193359375,0.34375,0.4033203125,0.3765455111861229,0.045074462890625,0.422607421875,0.2998046875,0.0289764404296875,0.034515380859375,0.5020965337753296,0.05523681640625,0.53564453125,0.1707763671875,0.0517578125,0.0900201387703418,0.0994873046875,0.1138916015625,0.84765625,0.89453125,0.5625,0.513671875,0.5707075148820877,0.0693359375,0.52734375,0.434814453125,0.06146240234375,0.04718017578125,0.6660441160202026,0.08648681640625,0.6318359375,0.263916015625,0.07568359375,0.1734684780240059,0.14697265625,0.1534423828125,18
19,Alstonia Angulstiloba,0.8264360803954106,0.8974524033477359,0.5140293853149092,0.511529537788139,0.5024840035941439,0.082747163709148,0.5024614914045323,0.5389041629377314,0.110144760489832,0.0382705632844897,0.6161922189093915,0.1059804296736388,0.616330986387103,0.3491613625823192,0.0512453183108336,0.1378281183179188,0.1661108392322263,0.1352495661307654,0.8251953125,0.8984375,0.51953125,0.50341796875,0.5070904493331909,0.08111572265625,0.5068359375,0.54150390625,0.1029052734375,0.038543701171875,0.6229969263076782,0.1063232421875,0.61865234375,0.3466796875,0.05126953125,0.1360879838466644,0.1617431640625,0.135986328125,0.796875,0.87548828125,0.4453125,0.467041015625,0.4396123886108398,0.06683349609375,0.47314453125,0.489501953125,0.08538818359375,0.035186767578125,0.566449373960495,0.08673095703125,0.59033203125,0.29638671875,0.046112060546875,0.1070703230798244,0.1290283203125,0.123046875,0.857421875,0.921875,0.58984375,0.552734375,0.5684826374053955,0.09796142578125,0.5322265625,0.591796875,0.1314697265625,0.04132080078125,0.6698035299777985,0.12445068359375,0.64697265625,0.40380859375,0.05572509765625,0.166664220392704,0.2017822265625,0.146240234375,0
18,Sterculia Parviflora,0.7757044831430652,0.8456205132509836,0.4213899700174031,0.4188135438046212,0.4086264562747975,0.0739165431939372,0.4027681881809927,0.5811169418815262,0.1392661133920886,0.0263252269846475,0.5642051069453792,0.0799927925082153,0.5575039103879766,0.4059239403676178,0.035275909571613,0.0983279625297192,0.190874155150776,0.0941418677784917,0.77685546875,0.84716796875,0.42578125,0.41650390625,0.4118754714727402,0.07427978515625,0.405517578125,0.5869140625,0.1309814453125,0.0261077880859375,0.5730135440826416,0.07904052734375,0.56005859375,0.408935546875,0.0352783203125,0.0970169566571712,0.1903076171875,0.0947265625,0.75244140625,0.8232421875,0.35546875,0.3955078125,0.3317270427942276,0.061279296875,0.367431640625,0.5400390625,0.11322021484375,0.0242156982421875,0.4876933768391609,0.06475830078125,0.5203857421875,0.369384765625,0.03167724609375,0.0729872528463602,0.1663818359375,0.08477783203125,0.7998046875,0.87060546875,0.4921875,0.43798828125,0.4821103513240814,0.0877685546875,0.439453125,0.63232421875,0.1573486328125,0.0283050537109375,0.6395290046930313,0.09503173828125,0.6015625,0.446533203125,0.03851318359375,0.1214010845869779,0.215087890625,0.103515625,16
30,Sterculia Parviflora,0.7967310810574774,0.8703170243797355,0.4657209702210905,0.4610772645187709,0.4688465056612156,0.0889069786161802,0.4573387380061483,0.5403179244038008,0.1083920087566761,0.0331426470520451,0.6055303707805839,0.1083092330005831,0.5936990855658458,0.3747233366051189,0.0459121497517534,0.1244028502125064,0.1807114972252088,0.1182710843979979,0.796875,0.873046875,0.4765625,0.4619140625,0.4744442999362945,0.0902099609375,0.45703125,0.552734375,0.10784912109375,0.032928466796875,0.6158322095870972,0.11041259765625,0.60546875,0.378662109375,0.04510498046875,0.1248329356312751,0.1810302734375,0.1171875,0.7705078125,0.84912109375,0.4140625,0.438232421875,0.4236359745264053,0.072265625,0.43359375,0.50537109375,0.0894775390625,0.0309295654296875,0.5722503662109375,0.084625244140625,0.56787109375,0.3409423828125,0.0413818359375,0.1007850617170333,0.1622314453125,0.10748291015625,0.826416015625,0.89404296875,0.52734375,0.487060546875,0.5208460092544556,0.10400390625,0.485595703125,0.58203125,0.1270751953125,0.035797119140625,0.6527643203735352,0.134033203125,0.625,0.40869140625,0.05108642578125,0.1475197672843933,0.1990966796875,0.1290283203125,16
20,Claoxylon Indicum,0.6822153517431415,0.763392552005218,0.4177329396325459,0.427444524756671,0.2628074510079103,0.0921371473310709,0.2698636059164479,0.6282105056692132,0.1891326313092699,0.0187763242241204,0.3931753756444672,0.0906117642734843,0.4021993893829677,0.4933046088965442,0.0215528850748514,0.0611052652362325,0.2366677813344621,0.060602556897795,0.70263671875,0.7861328125,0.4296875,0.43359375,0.266666978597641,0.09222412109375,0.276123046875,0.6376953125,0.1781005859375,0.018768310546875,0.405701994895935,0.09381103515625,0.41064453125,0.4951171875,0.0217132568359375,0.0586208626627922,0.2265625,0.061981201171875,0.64599609375,0.72998046875,0.3203125,0.3935546875,0.1985548287630081,0.0771484375,0.2315673828125,0.59130859375,0.1483154296875,0.0162506103515625,0.329250156879425,0.07421875,0.356689453125,0.459716796875,0.0176239013671875,0.0386352241039276,0.204833984375,0.049774169921875,0.74560546875,0.82861328125,0.51953125,0.468505859375,0.3277675211429596,0.1072998046875,0.3173828125,0.67041015625,0.2105712890625,0.0222015380859375,0.4676191806793213,0.1085205078125,0.459228515625,0.52783203125,0.0267791748046875,0.0799046903848648,0.257080078125,0.07366943359375,5
4,Falcataria Moluccana,0.8093813790251215,0.8810428787708685,0.4628633505917159,0.464943310051577,0.4852317480853147,0.0860315282971599,0.4849057478916816,0.6546276772919088,0.2412539620613104,0.0348920098221715,0.6476346103678239,0.0928698491445559,0.6486616966266906,0.4198649453995899,0.0472155750110203,0.1207144543175236,0.2076206675809213,0.1176411288367019,0.81298828125,0.88720703125,0.46875,0.466796875,0.4815540164709091,0.08331298828125,0.4833984375,0.66455078125,0.2264404296875,0.035064697265625,0.6522580981254578,0.09063720703125,0.65185546875,0.422119140625,0.046661376953125,0.1134733036160469,0.20263671875,0.11517333984375,0.77490234375,0.85205078125,0.4140625,0.43017578125,0.4143310934305191,0.0625,0.4365234375,0.5947265625,0.1708984375,0.032073974609375,0.5852415859699249,0.068359375,0.6044921875,0.35107421875,0.04071044921875,0.0918631833046674,0.1527099609375,0.09912109375,0.8486328125,0.91943359375,0.515625,0.50048828125,0.5554747730493546,0.1053466796875,0.53515625,0.7216796875,0.28857421875,0.03814697265625,0.7186241447925568,0.11383056640625,0.7001953125,0.489013671875,0.05340576171875,0.142575241625309,0.25439453125,0.135009765625,8
26,Sterculia Parviflora,0.8109963507401315,0.8532340923108552,0.3497507195723684,0.3459846255653783,0.3739297082490826,0.0815806060088308,0.3641810045744243,0.537682173879523,0.1537725589149876,0.0256993705347964,0.4455099450130211,0.0794435325421785,0.4372451300370066,0.3011340010793585,0.0483525205913342,0.1306827221065759,0.1576078013369911,0.1237367810701069,0.82666015625,0.86767578125,0.33984375,0.34521484375,0.3953634649515152,0.07379150390625,0.37060546875,0.5283203125,0.1085205078125,0.0263671875,0.4620773941278457,0.07794189453125,0.437744140625,0.2894287109375,0.049285888671875,0.1308996304869651,0.1278076171875,0.129150390625,0.76904296875,0.8123779296875,0.26953125,0.310546875,0.2450567595660686,0.05462646484375,0.31317138671875,0.47088623046875,0.09326171875,0.0229339599609375,0.3438269048929214,0.060089111328125,0.387451171875,0.2357177734375,0.041717529296875,0.0722257811576128,0.10235595703125,0.106201171875,0.86474609375,0.90673828125,0.41796875,0.381103515625,0.4793812781572342,0.09625244140625,0.4248046875,0.583984375,0.132568359375,0.0290107727050781,0.5388170629739761,0.09771728515625,0.492919921875,0.3515625,0.0543212890625,0.1768758371472358,0.167236328125,0.1435546875,16
