,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Spathodea Campanulatum']
2,['Bridelia Sp.'],['Shorea Leprosula']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Falcataria Moluccana']
5,['Spathodea Campanulatum'],['Terminalia Catappa']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Clausena Excavata']
8,['Shorea Leprosula'],['Bridelia Sp.']
9,['Syzygium Polyanthum'],['Sterculia Parviflora']
10,['Cinnamomum Iners'],['Terminalia Catappa']
11,['Clausena Excavata'],['Clausena Excavata']
12,['Cinnamomum Iners'],['Clausena Excavata']
13,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
14,['Spathodea Campanulatum'],['Alstonia Angulstiloba']
15,['Clausena Excavata'],['Sterculia Parviflora']
16,['Syzygium Polyanthum'],['Cinnamomum Iners']
17,['Sandoricum Koetjape'],['Clausena Excavata']
18,['Sterculia Parviflora'],['Sterculia Parviflora']
19,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
20,['Claoxylon Indicum'],['Syzygium Polyanthum']
21,['Bridelia Sp.'],['Sterculia Parviflora']
22,['Pometia Pinnata'],['Sterculia Parviflora']
23,['Sterculia Parviflora'],['Bridelia Sp.']
24,['Calophyllum'],['Sterculia Parviflora']
25,['Sterculia Parviflora'],['Sterculia Parviflora']
26,['Sterculia Parviflora'],['Alstonia Angulstiloba']
27,['Ficus Variegata'],['Ficus Variegata']
28,['Spathodea Campanulatum'],['Falcataria Moluccana']
29,['Falcataria Moluccana'],['Spathodea Campanulatum']
30,['Ficus Variegata'],['Falcataria Moluccana']
31,['Bridelia Sp.'],['Spathodea Campanulatum']
32,['Falcataria Moluccana'],['Cinnamomum Iners']
33,['Falcataria Moluccana'],['Ficus Variegata']
34,['Spathodea Campanulatum'],['Spathodea Campanulatum']
35,['Terminalia Catappa'],['Spathodea Campanulatum']
36,['Spathodea Campanulatum'],['Syzygium Polyanthum']
37,['Shorea Leprosula'],['Clausena Excavata']
38,['Syzygium Polyanthum'],['Bridelia Sp.']
39,['Cinnamomum Iners'],['Spathodea Campanulatum']
40,['Clausena Excavata'],['Syzygium Polyanthum']
41,['Cinnamomum Iners'],['Sterculia Parviflora']
42,['Alstonia Angulstiloba'],['Sterculia Parviflora']
43,['Spathodea Campanulatum'],['Spathodea Campanulatum']
44,['Clausena Excavata'],['Sandoricum Koetjape']
45,['Syzygium Polyanthum'],['Ficus Variegata']
46,['Sandoricum Koetjape'],['Cinnamomum Iners']
47,['Sterculia Parviflora'],['Spathodea Campanulatum']
48,['Alstonia Angulstiloba'],['Sterculia Parviflora']
49,['Claoxylon Indicum'],['Bridelia Sp.']
50,['Bridelia Sp.'],['Claoxylon Indicum']
51,['Pometia Pinnata'],['Sterculia Parviflora']
52,['Sterculia Parviflora'],['Sterculia Parviflora']
53,['Calophyllum'],['Sterculia Parviflora']
54,['Sterculia Parviflora'],['Sterculia Parviflora']
55,['Sterculia Parviflora'],['Sterculia Parviflora']
56,['Ficus Variegata'],['Ficus Variegata']
57,['Spathodea Campanulatum'],['Spathodea Campanulatum']
