,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Syzygium Polyanthum']
2,['Bridelia Sp.'],['Sterculia Parviflora']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Alstonia Angulstiloba']
5,['Spathodea Campanulatum'],['Terminalia Catappa']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Clausena Excavata']
8,['Shorea Leprosula'],['Shorea Leprosula']
9,['Syzygium Polyanthum'],['Sterculia Parviflora']
10,['Cinnamomum Iners'],['Spathodea Campanulatum']
11,['Clausena Excavata'],['Dillenia Suffruticosa']
12,['Cinnamomum Iners'],['Dillenia Suffruticosa']
13,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
14,['Spathodea Campanulatum'],['Alstonia Angulstiloba']
15,['Clausena Excavata'],['Sterculia Parviflora']
16,['Syzygium Polyanthum'],['Spathodea Campanulatum']
17,['Sandoricum Koetjape'],['Clausena Excavata']
18,['Sterculia Parviflora'],['Sterculia Parviflora']
19,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
20,['Claoxylon Indicum'],['Syzygium Polyanthum']
21,['Bridelia Sp.'],['Sterculia Parviflora']
22,['Pometia Pinnata'],['Sterculia Parviflora']
23,['Sterculia Parviflora'],['Bridelia Sp.']
24,['Calophyllum'],['Sterculia Parviflora']
25,['Pennisetum Purpureum'],['Syzygium Polyanthum']
26,['Sterculia Parviflora'],['Sterculia Parviflora']
27,['Campnosperma Auriculatum'],['Spathodea Campanulatum']
28,['Leea Indica'],['Sterculia Parviflora']
29,['Dillenia Suffruticosa'],['Clausena Excavata']
30,['Sterculia Parviflora'],['Alstonia Angulstiloba']
31,['Ficus Variegata'],['Spathodea Campanulatum']
32,['Spathodea Campanulatum'],['Terminalia Catappa']
33,['Falcataria Moluccana'],['Spathodea Campanulatum']
34,['Ficus Variegata'],['Falcataria Moluccana']
35,['Bridelia Sp.'],['Spathodea Campanulatum']
36,['Falcataria Moluccana'],['Falcataria Moluccana']
37,['Falcataria Moluccana'],['Cinnamomum Iners']
38,['Spathodea Campanulatum'],['Spathodea Campanulatum']
39,['Terminalia Catappa'],['Spathodea Campanulatum']
40,['Spathodea Campanulatum'],['Claoxylon Indicum']
41,['Shorea Leprosula'],['Clausena Excavata']
42,['Syzygium Polyanthum'],['Bridelia Sp.']
43,['Cinnamomum Iners'],['Spathodea Campanulatum']
44,['Clausena Excavata'],['Claoxylon Indicum']
45,['Cinnamomum Iners'],['Sterculia Parviflora']
46,['Cratoxylum Formosum'],['Spathodea Campanulatum']
47,['Alstonia Angulstiloba'],['Sterculia Parviflora']
48,['Spathodea Campanulatum'],['Spathodea Campanulatum']
49,['Clausena Excavata'],['Spathodea Campanulatum']
50,['Syzygium Polyanthum'],['Spathodea Campanulatum']
51,['Sandoricum Koetjape'],['Spathodea Campanulatum']
52,['Sterculia Parviflora'],['Cinnamomum Iners']
53,['Alstonia Angulstiloba'],['Sterculia Parviflora']
54,['Claoxylon Indicum'],['Bridelia Sp.']
55,['Bridelia Sp.'],['Claoxylon Indicum']
56,['Pometia Pinnata'],['Sterculia Parviflora']
57,['Sterculia Parviflora'],['Sterculia Parviflora']
58,['Calophyllum'],['Sterculia Parviflora']
59,['Pennisetum Purpureum'],['Bridelia Sp.']
60,['Sterculia Parviflora'],['Leea Indica']
61,['Campnosperma Auriculatum'],['Falcataria Moluccana']
62,['Leea Indica'],['Sterculia Parviflora']
63,['Dillenia Suffruticosa'],['Clausena Excavata']
64,['Sterculia Parviflora'],['Pometia Pinnata']
65,['Ficus Variegata'],['Spathodea Campanulatum']
66,['Spathodea Campanulatum'],['Spathodea Campanulatum']
